metric,value
requested_start_date,2025-07-01
requested_end_date,2025-07-08
pollutant,NO2
monitoring_site_records,258
species_metadata_site_records,255
eligible_active_no2_sites,68
selected_sites,20
successful_site_requests,20
failed_site_requests,0
hourly_positions_per_site,168
total_rows,3360
missing_no2,521
missing_percent,15.5059523809524
sites_with_usable_values,17
fully_missing_sites,BG2;CE3;CR9
first_timestamp,2025-07-01 00:00:00
last_timestamp,2025-07-07 23:00:00
duplicate_site_time_keys,0
retained_negative_value,-0.1 at BQ7 on 2025-07-05 03:00:00

