"version","function_name","self.time","self.pct","total.time","total.pct","mem.total"
"baseline","logf",0.968,18.79,3.336,64.76,8049.6
"baseline","vapply",0.843,16.37,1.213,23.55,2965.1
"baseline","pmax",0.833,16.17,2.263,43.93,5519.9
"baseline","pt_rw_step_trunc",0.457,8.87,4.194,81.42,9963.2
"baseline","pt_sampler_trunc",0.415,8.06,5.147,99.92,12378.9
"baseline","pnorm",0.239,4.64,0.239,4.64,620.4
"baseline","Z_tail",0.235,4.56,0.475,9.22,1164.8
"baseline","FUN",0.224,4.35,0.279,5.42,697.3
"baseline","rnorm",0.181,3.51,0.181,3.51,466
"baseline","r_trunc_norm",0.104,2.02,0.286,5.55,708.8
"baseline","runif",0.095,1.84,0.095,1.84,210.2
"baseline","mostattributes<-",0.086,1.67,0.108,2.1,243.8
"baseline","match.fun",0.081,1.57,0.093,1.81,200.1
"baseline","all",0.079,1.53,0.079,1.53,192.3
"baseline","any",0.064,1.24,0.064,1.24,120.6
"baseline","length",0.061,1.18,0.061,1.18,136.9
"baseline","is.atomic",0.053,1.03,0.053,1.03,129.9
"baseline","list",0.035,0.68,0.035,0.68,57.5
"baseline","is.finite",0.025,0.49,0.025,0.49,57.6
"baseline","-",0.017,0.33,0.017,0.33,33.3
"baseline","is.function",0.012,0.23,0.012,0.23,37.6
"baseline","attributes",0.008,0.16,0.008,0.16,11.3
"baseline","lazyLoadDBfetch",0.006,0.12,0.006,0.12,10.1
"baseline","findCenvVar",0.005,0.1,0.005,0.1,5.4
"baseline","gc",0.004,0.08,0.004,0.08,0
"baseline","getInlineInfo",0.003,0.06,0.007,0.14,8.1
"baseline","cmp",0.002,0.04,0.025,0.49,26.1
"baseline","%%",0.002,0.04,0.002,0.04,1.3
"baseline","%in%",0.002,0.04,0.002,0.04,2.1
"baseline","make.nonTailCallContext",0.002,0.04,0.002,0.04,0.9
"baseline","cmpCall",0.001,0.02,0.025,0.49,26.1
"baseline","h",0.001,0.02,0.02,0.39,19.4
"baseline","constantFoldCall",0.001,0.02,0.005,0.1,6.5
"baseline","as.list",0.001,0.02,0.002,0.04,2.3
"baseline","grep",0.001,0.02,0.002,0.04,2.2
"baseline","as.list.default",0.001,0.02,0.001,0.02,1.3
"baseline","cb$putcode",0.001,0.02,0.001,0.02,1
"baseline","is.factor",0.001,0.02,0.001,0.02,1.2
"baseline","matrix",0.001,0.02,0.001,0.02,6
"baseline","structure",0.001,0.02,0.001,0.02,0.9
"stage1","pt_sampler_trunc",0.431,15.48,2.779,99.82,7324.9
"stage1","pt_rw_step_trunc",0.365,13.11,2.298,82.54,5999.3
"stage1","pmax",0.32,11.49,0.826,29.67,2121.7
"stage1","vapply",0.319,11.46,0.458,16.45,1112.9
"stage1","log_target",0.296,10.63,1.17,42.03,2997
"stage1","log_Z_tail",0.208,7.47,0.405,14.55,1016
"stage1","pnorm",0.197,7.08,0.197,7.08,505.3
"stage1","rnorm",0.141,5.06,0.141,5.06,329.9
"stage1","r_trunc_norm",0.101,3.63,0.243,8.73,628.9
"stage1","runif",0.083,2.98,0.083,2.98,218.3
"stage1","FUN",0.081,2.91,0.103,3.7,228.2
"stage1","any",0.036,1.29,0.036,1.29,98.7
"stage1","list",0.033,1.19,0.033,1.19,105.2
"stage1","match.fun",0.032,1.15,0.038,1.36,86.5
"stage1","mostattributes<-",0.027,0.97,0.032,1.15,95.4
"stage1","length",0.022,0.79,0.022,0.79,43.4
"stage1","is.atomic",0.015,0.54,0.015,0.54,33.6
"stage1","all",0.013,0.47,0.013,0.47,31.4
"stage1","lazyLoadDBfetch",0.011,0.4,0.011,0.4,13.9
"stage1","is.finite",0.009,0.32,0.009,0.32,27.9
"stage1","findCenvVar",0.006,0.22,0.008,0.29,7.9
"stage1","is.function",0.006,0.22,0.006,0.22,18.5
"stage1","gc",0.005,0.18,0.005,0.18,0
"stage1","-",0.004,0.14,0.004,0.14,12.6
"stage1","exists",0.002,0.07,0.006,0.22,11.1
"stage1","make.callContext",0.002,0.07,0.002,0.07,2
"stage1","cmp",0.001,0.04,0.035,1.26,39.6
"stage1","cmpCall",0.001,0.04,0.035,1.26,39.6
"stage1","getInlineInfo",0.001,0.04,0.009,0.32,8.9
"stage1","constantFoldCall",0.001,0.04,0.007,0.25,6.9
"stage1","cmpComplexAssign",0.001,0.04,0.006,0.22,4.2
"stage1","getInlineHandler",0.001,0.04,0.005,0.18,9.9
"stage1","lapply",0.001,0.04,0.003,0.11,4.9
"stage1","cmpSym",0.001,0.04,0.002,0.07,2.1
"stage1","$",0.001,0.04,0.001,0.04,1.2
"stage1","attributes",0.001,0.04,0.001,0.04,0
"stage1","cb$patchlabels",0.001,0.04,0.001,0.04,1
"stage1","cb$setcurexpr",0.001,0.04,0.001,0.04,0.9
"stage1","cmpSubsetDispatch",0.001,0.04,0.001,0.04,0
"stage1","constantFoldSym",0.001,0.04,0.001,0.04,1.3
"stage1","getAssignedVar",0.001,0.04,0.001,0.04,1
"stage1","getAssignFun",0.001,0.04,0.001,0.04,1.2
"stage1","isLoopStopFun",0.001,0.04,0.001,0.04,1.2
"stage1","mayCallBrowserList",0.001,0.04,0.001,0.04,6.1
"stage1","rev",0.001,0.04,0.001,0.04,1.2
"stage2","stage2_env$pt_sampler_trunc",0.767,37.95,2.016,99.75,5761.1
"stage2","pt_rw_step_trunc",0.39,19.3,1.213,60.02,3462.4
"stage2","log_Z_tail",0.205,10.14,0.345,17.07,918.2
"stage2","pnorm",0.14,6.93,0.14,6.93,384.9
"stage2","rnorm",0.129,6.38,0.133,6.58,399
"stage2","log_target",0.113,5.59,0.132,6.53,407.8
"stage2","r_trunc_norm",0.093,4.6,0.228,11.28,720.1
"stage2","runif",0.077,3.81,0.077,3.81,194.1
"stage2","list",0.033,1.63,0.033,1.63,94.6
"stage2","-",0.02,0.99,0.02,0.99,78.6
"stage2","is.finite",0.016,0.79,0.016,0.79,58.5
"stage2","is.numeric",0.006,0.3,0.006,0.3,12
"stage2","lazyLoadDBfetch",0.006,0.3,0.006,0.3,10.7
"stage2","/",0.005,0.25,0.005,0.25,9.3
"stage2","length",0.004,0.2,0.004,0.2,14.6
"stage2","seq_len",0.004,0.2,0.004,0.2,13.9
"stage2","gc",0.003,0.15,0.003,0.15,0
"stage2","cb$putcode",0.002,0.1,0.002,0.1,2.5
"stage2","proc.time",0.002,0.1,0.002,0.1,0
"stage2","*",0.001,0.05,0.001,0.05,0
"stage2","%%",0.001,0.05,0.001,0.05,1.6
"stage2","+",0.001,0.05,0.001,0.05,0
"stage2","<",0.001,0.05,0.001,0.05,0
"stage2","findCenvVar",0.001,0.05,0.001,0.05,3.9
"stage2","findLocalsList",0.001,0.05,0.001,0.05,5.6
