"version","repetition","order_position","user_seconds","system_seconds","elapsed_seconds","sample_matrix_mib","cold_chain_mean","cold_chain_sd"
"baseline",1,1,10.228,0.079,10.345,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",1,2,6.815,0.059,6.939,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",1,3,5.749,0.037,5.8,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",2,1,5.791,0.048,5.884,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",2,2,6.875,0.077,7.123,5.34078216552734,25.3935774135138,9.68391509242754
"baseline",2,3,10.456,0.095,10.625,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",3,1,6.935,0.062,7.053,5.34078216552734,25.3935774135138,9.68391509242754
"baseline",3,2,10.433,0.092,10.6,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",3,3,5.82199999999999,0.041,5.88000000000001,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",4,1,5.80200000000001,0.045,5.881,5.34078216552734,25.3935774135138,9.68391509242754
"baseline",4,2,10.203,0.076,10.429,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",4,3,6.68799999999999,0.039,6.749,5.34078216552734,25.3935774135138,9.68391509242754
"baseline",5,1,10.194,0.067,10.302,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",5,2,5.75800000000001,0.043,5.815,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",5,3,6.705,0.0409999999999999,6.779,5.34078216552734,25.3935774135138,9.68391509242754
